,Date,Origin ID,Origin Name,Destination ID,Destination Name,Daily Mean Travel Time,Daily Range - Lower,Daily Range - Upper,AM Mean Travel Time,AM Range - Lower,AM Range - Upper,PM Mean Travel Time,PM Range - Lower Bound Travel Time,PM Range - Upper Bound Travel Time,Midday Mean Travel Time,Midday Range - Lower,Midday Range - Upper,Evening Mean Travel Time,Evening Range - Lower,Evening Range - Upper,Early Morning Mean Travel Time,Early Morning Range - Lower,Early Morning Range - Upper,weekday,pred_daily_mean,month
1061,2019-06-12,3692,"2nd Street and Stevenson Street, San Francisco, CA",3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",1339.0,991.0,1811.0,1379.0,1142.0,1677.0,1446.5,1121.5,1791.0,1250.0,1069.0,1476.0,1285.0,971.0,1699.0,756.0,586.0,991.0,2,1236.554600925089,7
1062,2019-06-06,3692,"2nd Street and Stevenson Street, San Francisco, CA",3394,"Fisherman's Wharf, 286-298 Jefferson St, San Francisco, CA",771.0,547.0,1086.0,752.0,614.0,921.0,921.0,655.0,1295.0,770.0,565.0,1051.0,718.0,509.0,1014.0,550.0,404.0,749.0,3,786.6226403685203,7
1063,2019-06-02,3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",3692,"2nd Street and Stevenson Street, San Francisco, CA",1302.0,1057.0,1604.0,1097.0,910.0,1323.0,1272.0,1077.0,1502.0,1423.0,1154.0,1755.0,1213.5,970.0,1518.0,739.5,574.0,977.0,6,1347.8226961538508,7
1064,2019-04-01,3692,"2nd Street and Stevenson Street, San Francisco, CA",3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",511.0,324.0,807.0,447.0,295.0,679.0,777.0,458.0,1318.0,491.0,337.0,715.0,449.0,305.0,660.0,382.0,270.0,540.0,0,551.3803256712424,5
1065,2019-05-23,3394,"Fisherman's Wharf, 286-298 Jefferson St, San Francisco, CA",3692,"2nd Street and Stevenson Street, San Francisco, CA",1043.0,763.0,1425.0,1007.0,720.0,1406.0,1341.0,1042.0,1727.0,1106.0,862.0,1418.0,961.0,747.0,1235.0,653.0,561.0,759.0,3,988.619216099436,6
1066,2019-06-22,3692,"2nd Street and Stevenson Street, San Francisco, CA",3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",1326.0,900.0,1955.0,990.0,757.0,1295.0,1333.0,1172.0,1515.0,1468.0,1103.0,1954.0,1302.5,1058.0,1511.5,756.0,577.0,985.3953345610817,5,1215.8467074039486,7
1067,2019-04-21,3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",3692,"2nd Street and Stevenson Street, San Francisco, CA",1478.0,1084.0,2015.0,1097.0,910.0,1323.0,1395.0,1094.0,1779.0,1674.0,1136.0,2466.0,1213.5,970.0,1518.0,1006.5,849.5,1322.8109269490487,6,1337.1923218911634,5
1068,2019-05-16,3692,"2nd Street and Stevenson Street, San Francisco, CA",3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",584.0,360.0,946.0,622.0,399.0,967.0,710.0,533.0,945.0,636.0,408.0,993.0,510.0,325.0,801.0,448.0,243.0,823.0,3,604.7079051374535,6
1069,2019-06-19,3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",3692,"2nd Street and Stevenson Street, San Francisco, CA",592.0,367.0,954.0,941.0,504.0,1756.0,693.0,416.0,1153.0,530.0,351.0,798.0,454.0,333.0,617.0,361.0,233.0,551.0,2,679.7003583300834,7
1070,2019-04-12,3692,"2nd Street and Stevenson Street, San Francisco, CA",3394,"Fisherman's Wharf, 286-298 Jefferson St, San Francisco, CA",771.0,531.0,1120.0,743.0,588.0,939.0,979.0,734.0,1305.0,796.0,564.0,1122.0,661.0,477.0,916.0,473.0,363.0,617.0,4,763.2165618270601,5
1071,2019-05-02,3692,"2nd Street and Stevenson Street, San Francisco, CA",3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",512.0,317.0,826.0,481.0,306.0,757.0,628.0,431.0,915.0,635.0,423.0,952.0,470.0,292.0,756.0,362.0,235.0,559.0,3,604.7079051374535,6
