,Date,Origin Movement ID,Origin Display Name,Destination Movement ID,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds),weekday
2470,2019-03-15,3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",582.0,372.0,911.0,629.0,415.0,955.0,651.0,410.0,1033.0,561.0,362.0,869.0,500.0,326.0,767.0,,,,4
2471,2019-03-26,3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",477.0,310.0,735.0,532.0,341.0,828.0,543.0,373.0,791.0,543.0,371.0,796.0,419.0,281.0,625.0,341.0,233.0,499.0,1
2472,2019-01-09,3394,"Fisherman's Wharf, San Francisco, CA",3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",983.0,730.0,1323.0,994.0,818.0,1208.0,1245.0,980.0,1581.0,1009.0,752.0,1352.0,677.0,488.0,940.0,858.0,610.0,1208.0,2
2473,2019-01-20,3394,"Fisherman's Wharf, San Francisco, CA",3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",853.0,630.0,1155.0,695.0,580.0,834.0,1129.0,849.0,1500.0,830.0,679.0,1013.0,755.0,592.0,962.0,688.0,537.0,881.0,6
2474,2019-01-07,3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",1287.0,983.0,1685.0,,,,1309.0,1022.0,1675.0,1410.0,1059.0,1878.0,,,,,,,0
2475,2019-03-30,3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",379.0,250.0,576.0,488.0,283.0,840.0,324.0,248.0,424.0,422.0,259.0,687.0,377.0,253.0,562.0,312.0,232.0,418.0,5
2476,2019-03-29,3394,"Fisherman's Wharf, San Francisco, CA",3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",975.0,744.0,1278.0,975.0,732.0,1299.0,1122.0,919.0,1370.0,1015.0,815.0,1263.0,839.0,696.0,1010.0,1054.0,586.0,1895.0,4
2477,2019-03-10,3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",374.0,255.0,548.0,368.0,264.0,513.0,411.0,273.0,619.0,389.0,262.0,576.0,358.0,252.0,509.0,351.0,238.0,519.0,6
2478,2019-02-03,3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",3394,"Fisherman's Wharf, 286-298 Jefferson St, San Francisco, CA",693.0,515.0,931.0,,,,724.0,543.0,965.0,756.0,611.0,936.0,655.0,470.0,913.0,510.0,434.0,598.0,6
2479,2019-01-03,3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",3394,"Fisherman's Wharf, 286-298 Jefferson St, San Francisco, CA",793.0,567.0,1111.0,800.0,691.0,925.0,968.0,656.0,1428.0,803.0,598.0,1077.0,628.0,479.0,824.0,,,,3
2480,2019-02-04,3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",1499.0,1150.0,1954.0,1491.0,1140.0,1950.0,,,,,,,,,,,,,0
2481,2019-03-20,3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",1300.0,993.0,1701.0,,,,1487.0,1304.0,1695.0,1352.0,1088.0,1681.0,1023.0,803.0,1302.0,,,,2
2482,2019-03-17,3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",429.0,267.0,690.0,515.0,288.0,921.0,388.0,252.0,598.0,420.0,293.0,602.0,401.0,239.0,674.0,523.0,242.0,1127.0,6
2483,2019-01-10,3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",1453.0,1065.0,1982.0,1508.0,1168.0,1946.0,,,,1807.0,1207.0,2705.0,,,,960.0,931.0,990.0,3
2484,2019-03-12,3394,"Fisherman's Wharf, San Francisco, CA",3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",969.0,707.0,1327.0,985.0,725.0,1339.0,1043.0,785.0,1387.0,1089.0,866.0,1369.0,857.0,628.0,1171.0,851.0,546.0,1326.0,1
2485,2019-01-10,3394,"Fisherman's Wharf, San Francisco, CA",3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",1080.0,780.0,1496.0,1062.0,830.0,1358.0,1574.0,1305.0,1900.0,1034.0,789.0,1355.0,853.0,696.0,1046.0,684.0,587.0,797.0,3
2486,2019-03-24,3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",1277.0,1000.0,1629.0,,,,,,,1387.0,1130.0,1702.0,,,,,,,6
2487,2019-03-23,3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",3394,"Fisherman's Wharf, 286-298 Jefferson St, San Francisco, CA",807.0,584.0,1116.0,845.0,655.0,1090.0,924.0,697.0,1225.0,830.0,607.0,1135.0,780.0,564.0,1077.0,610.0,464.0,801.0,5
2488,2019-01-22,3394,"Fisherman's Wharf, San Francisco, CA",3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",967.0,714.0,1309.0,1158.0,835.0,1604.0,995.0,822.0,1204.0,931.0,792.0,1094.0,749.0,592.0,947.0,,,,1
2489,2019-03-17,3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",1413.0,1095.0,1825.0,,,,1493.0,1282.0,1737.0,1534.0,1149.0,2047.0,1199.0,950.0,1513.0,,,,6
2490,2019-03-08,3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",1471.0,1213.0,1783.0,1420.0,1184.0,1704.0,1480.0,1302.0,1682.0,1670.0,1247.0,2235.0,,,,,,,4
2491,2019-01-11,3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",1693.0,1322.0,2168.0,1569.0,1250.0,1971.0,,,,1622.0,1366.0,1926.0,,,,,,,4
2492,2019-03-16,3394,"Fisherman's Wharf, San Francisco, CA",3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",1038.0,752.0,1433.0,807.0,584.0,1114.0,1113.0,854.0,1450.0,1022.0,735.0,1420.0,1086.0,826.0,1428.0,558.0,493.0,633.0,5
2493,2019-03-03,3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",1288.0,1098.0,1510.0,,,,1366.0,1265.0,1475.0,1304.0,1221.0,1392.0,,,,,,,6
2494,2019-02-06,3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",624.0,387.0,1006.0,819.0,554.0,1213.0,646.0,451.0,926.0,671.0,403.0,1115.0,541.0,342.0,856.0,,,,2
2495,2019-03-16,3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",1275.0,1004.0,1620.0,891.0,763.0,1040.0,1333.0,1172.0,1515.0,,,,1434.0,1295.0,1588.0,,,,5
2496,2019-01-08,3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",415.0,277.0,621.0,394.0,285.0,545.0,521.0,354.0,765.0,428.0,299.0,611.0,365.0,240.0,553.0,269.0,209.0,346.0,1
2497,2019-02-25,3394,"Fisherman's Wharf, San Francisco, CA",3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",1303.0,811.0,2092.0,1061.0,769.0,1466.0,1878.0,1384.0,2548.0,1492.0,913.0,2438.0,824.0,626.0,1083.0,,,,0
2498,2019-02-27,3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",608.0,381.0,971.0,586.0,408.0,841.0,761.0,504.0,1149.0,628.0,409.0,963.0,504.0,308.0,825.0,361.0,248.0,525.0,2
2499,2019-02-08,3394,"Fisherman's Wharf, San Francisco, CA",3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",1258.0,758.0,2087.0,1126.0,885.0,1433.0,2222.0,1367.0,3611.0,1747.0,996.0,3065.0,837.0,655.0,1070.0,,,,4
2500,2019-03-27,3394,"Fisherman's Wharf, San Francisco, CA",3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",978.0,716.0,1337.0,1130.0,803.0,1590.0,1018.0,830.0,1249.0,1050.0,826.0,1335.0,857.0,691.0,1063.0,594.0,533.0,662.0,2
2501,2019-02-10,3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",1464.0,1196.0,1790.0,,,,,,,1515.0,1195.0,1920.0,,,,,,,6
